dataset,n_samples,n_valid,n_spike,rmse_mN,ratio_mean,ratio_std
S2000_5000_01,1369,1369,0,82.8007,0.890161,0.065502
S2000_5000_02,800,791,0,73.1443,0.922731,0.082141
S2000_5000_03,1349,1349,0,82.5808,0.897797,0.064629
S2000_5000_04,1573,1573,0,91.7824,0.873735,0.066445
S2000_5000_05,1563,1563,0,84.4383,0.881306,0.075058
S2000_7000_01,1375,1375,0,111.0296,0.893273,0.084680
S2000_7000_02,1571,1571,0,140.9839,0.898045,0.085120
S2000_7000_03,1527,1526,1,124.9288,0.887120,0.089970
S2000_7000_04,1463,1461,2,186.2266,0.907764,0.094072
S2000_7000_05,1494,1493,1,102.7347,0.879443,0.086630
S4000_7000_01,1507,1507,0,124.5311,0.991734,0.028208
S4000_7000_02,1466,1466,0,134.5678,0.970221,0.037549
S4000_7000_03,1401,1399,2,160.6740,0.949237,0.042145
S4000_7000_04,1524,1524,0,189.6135,0.966671,0.047213
S4000_7000_05,1587,1587,0,168.0043,0.974657,0.042017
S5000_7000_01,1371,1371,0,165.3416,0.978970,0.033562
S5000_7000_02,1485,1485,0,135.5198,0.977301,0.026622
S5000_7000_03,1535,1535,0,131.4504,0.980637,0.027644
S5000_7000_04,1553,1553,0,126.3171,0.974833,0.023405
S5000_7000_05,1537,1537,0,123.4286,0.972917,0.021032
