rpm_cmd,rpm_meas,T_mean_N,T_std_mN,C_T_i,T_model_N,residual_mN,n
1200,1200.0,0.275956,3.6577,1.916477e-07,0.185680,90.2760,1496
1500,1499.2,0.366433,3.4129,1.630372e-07,0.289826,76.6071,1504
2000,1999.7,0.567933,22.0640,1.420202e-07,0.515675,52.2578,1507
2500,2500.9,0.841912,15.9707,1.346055e-07,0.806553,35.3584,1504
3000,2999.0,1.154961,9.8309,1.284182e-07,1.159765,-4.8042,1505
3500,3500.7,1.561778,10.9721,1.274378e-07,1.580339,-18.5612,1506
4000,3999.9,2.017313,11.2743,1.260900e-07,2.063109,-45.7953,1504
4500,4499.5,2.518259,15.4769,1.243844e-07,2.610741,-92.4818,1506
5000,4999.6,3.160686,21.9114,1.264498e-07,3.223238,-62.5524,1505
5500,5500.2,3.836349,32.8500,1.268103e-07,3.901151,-64.8015,1503
6000,6000.0,4.543856,32.3532,1.262174e-07,4.642315,-98.4587,1479
6500,6500.0,5.473665,48.4901,1.295547e-07,5.448217,25.4482,1506
7000,6999.6,6.410324,56.6309,1.308391e-07,6.317886,92.4381,1479
7500,7500.7,7.319085,80.6673,1.300922e-07,7.254958,64.1268,1506
